#{"t_start": 1653950834.3895366, "env_id": null}
r,l,t
-10530.0,179,31.619273
-9167.0,179,55.134771
-10196.0,179,81.987066
-9192.0,179,107.640502
-9742.0,179,130.311389
-8953.0,179,155.497465
-11318.0,179,179.270634
-9826.0,179,202.370264
-9949.0,179,226.116413
-9321.0,179,250.464513
-9487.0,179,280.603031
-9806.0,179,307.930713
-9506.0,179,333.683216
-9045.0,179,357.199739
-9333.0,179,384.413705
-8311.0,179,410.066324
-10392.0,179,436.259155
-9284.0,179,458.764571
-9555.0,179,483.42849
-8387.0,179,506.384529
-8838.0,179,532.106742
-9880.0,179,554.25832
-9307.0,179,579.504409
-8755.0,179,606.119022
-8297.0,179,629.800803
-7989.0,179,650.698353
-8892.0,179,671.203301
-9195.0,179,696.692756
-8759.0,179,718.317764
-8777.0,179,740.954114
-8914.0,179,767.257964
-8531.0,179,789.92993
-8714.0,179,810.238715
-8733.0,179,833.355094
-8502.0,179,857.706026
-8410.0,179,881.140952
-7769.0,179,902.859774
-8674.0,179,926.546587
-8715.0,179,950.120447
-9008.0,179,973.731121
-7903.0,179,994.294255
-7516.0,179,1014.782693
-8336.0,179,1036.797816
-7996.0,179,1061.165376
-8452.0,179,1084.705584
-7108.0,179,1108.746858
-7868.0,179,1132.308029
-7610.0,179,1155.213553
-7833.0,179,1174.885525
-7875.0,179,1197.854235
-8017.0,179,1226.12298
-8505.0,179,1252.215388
-8008.0,179,1274.703055
-7633.0,179,1299.741113
-7916.0,179,1322.384609
-7209.0,179,1342.580265
-7924.0,179,1363.826139
-6766.0,179,1386.524358
-7347.0,179,1409.463123
-6928.0,179,1431.702551
-6915.0,179,1457.314242
-7595.0,179,1479.88159
-7611.0,179,1503.534905
-8076.0,179,1525.3202
-8361.0,179,1550.108067
-8062.0,179,1574.84153
-7013.0,179,1598.458503
-7328.0,179,1620.534138
-6785.0,179,1644.091624
-6513.0,179,1666.288176
-5278.0,179,1686.855812
-7383.0,179,1709.786207
-6764.0,179,1735.280385
-6833.0,179,1758.087722
-6889.0,179,1782.599913
-7451.0,179,1806.391591
-7464.0,179,1831.014359
-6833.0,179,1853.592714
-6589.0,179,1872.087471
-7163.0,179,1892.199647
-6663.0,179,1915.386524
-6132.0,179,1936.290944
-6387.0,179,1956.631821
-6655.0,179,1978.466868
-6409.0,179,1997.226285
-6569.0,179,2017.22136
-6193.0,179,2036.549532
-7936.0,179,2062.055467
-6074.0,179,2085.602906
-6440.0,179,2105.840704
-6577.0,179,2128.419169
-6699.0,179,2150.614832
-5086.0,179,2170.045391
-6008.0,179,2189.206635
-5853.0,179,2209.121674
-6352.0,179,2230.984942
-5453.0,179,2253.390153
-5939.0,179,2280.409748
-6850.0,179,2301.817337
-6455.0,179,2322.476916
-5339.0,179,2346.562633
-5723.0,179,2367.836611
-6868.0,179,2390.354083
-6064.0,179,2414.160091
-5552.0,179,2437.70575
-5465.0,179,2459.481544
-6015.0,179,2483.744056
-5779.0,179,2505.504905
-4958.0,179,2527.259086
-5350.0,179,2549.898013
-5940.0,179,2576.783927
-5265.0,179,2599.022668
-5575.0,179,2621.802584
-5481.0,179,2646.815233
-5280.0,179,2671.782755
-4845.0,179,2700.114727
-4599.0,179,2727.593347
-5101.0,179,2749.286396
-4471.0,179,2771.312413
-5096.0,179,2793.65877
-4830.0,179,2823.292194
-6248.0,179,2849.37596
-5461.0,179,2871.829527
-5334.0,179,2900.523809
-5178.0,179,2930.108289
-5746.0,179,2956.606028
-4236.0,179,2979.60421
-5272.0,179,3007.980702
-5746.0,179,3033.254791
-4911.0,179,3063.422353
-4462.0,179,3089.910939
-5151.0,179,3114.953884
-4945.0,179,3141.780509
-5102.0,179,3169.497755
-5327.0,179,3197.03625
-5389.0,179,3226.6129
-5016.0,179,3253.211376
-4390.0,179,3284.588055
-5501.0,179,3319.412043
-3684.0,179,3344.553418
-4419.0,179,3372.992068
-5300.0,179,3401.970175
-3787.0,179,3430.465674
-5834.0,179,3462.668766
-4019.0,179,3489.526819
-4835.0,179,3520.790293
-4164.0,179,3550.050281
-4156.0,179,3577.677633
-5293.0,179,3604.457326
-4285.0,179,3629.533366
-4629.0,179,3656.064314
-3843.0,179,3682.84488
-4880.0,179,3712.912178
-4186.0,179,3740.78756
-4344.0,179,3769.321541
-4898.0,179,3797.405187
-5171.0,179,3827.729107
-4131.0,179,3856.548454
-4344.0,179,3887.954907
-3720.0,179,3913.82574
-4857.0,179,3952.629352
-4456.0,179,3985.176059
-4780.0,179,4022.949709
-4572.0,179,4056.686046
-3944.0,179,4085.581551
-4337.0,179,4118.935709
-3832.0,179,4148.332795
-6412.0,179,4181.503715
-3630.0,179,4212.098174
-4533.0,179,4245.104012
-3883.0,179,4277.970741
-3844.0,179,4311.222481
-4517.0,179,4339.895005
-3324.0,179,4367.604941
-3397.0,179,4393.835623
-4076.0,179,4423.70235
-3940.0,179,4453.335431
-3105.0,179,4478.608018
-3234.0,179,4506.408178
-4057.0,179,4533.297138
-4133.0,179,4562.120033
-4091.0,179,4592.309853
-3849.0,179,4624.01737
-3908.0,179,4657.299514
-3372.0,179,4684.976453
-3733.0,179,4715.269136
-4304.0,179,4744.514593
-3611.0,179,4776.236049
-3254.0,179,4802.72031
-2787.0,179,4829.03724
-3862.0,179,4863.07655
-5326.0,179,4899.289272
-4046.0,179,4928.40221
-3102.0,179,4953.824739
-3630.0,179,4983.227119
-3649.0,179,5010.756546
-4421.0,179,5038.779787
-3988.0,179,5068.240461
-3975.0,179,5096.811931
-3665.0,179,5127.801214
-3429.0,179,5155.687929
-3620.0,179,5185.509388
-4214.0,179,5214.385033
-4022.0,179,5242.138672
-3914.0,179,5272.66404
-3645.0,179,5302.986631
-3172.0,179,5332.129085
-3722.0,179,5360.170855
-3783.0,179,5387.353899
-3348.0,179,5415.823135
-3613.0,179,5447.79494
-2743.0,179,5485.480485
-4717.0,179,5519.317324
-3472.0,179,5545.601742
-3667.0,179,5573.866122
-3291.0,179,5601.457865
-4115.0,179,5630.756929
-4065.0,179,5661.592017
-3388.0,179,5690.752357
-4102.0,179,5721.315443
-3929.0,179,5751.730925
-3847.0,179,5784.333094
-4099.0,179,5813.174254
-3349.0,179,5843.789175
-2531.0,179,5871.620825
-4354.0,179,5901.082413
-3743.0,179,5931.227006
-4208.0,179,5961.040687
-3942.0,179,5992.060314
-3542.0,179,6020.650942
-3043.0,179,6047.886411
-3636.0,179,6078.85039
-3651.0,179,6108.927018
-3383.0,179,6138.100267
-3500.0,179,6165.825979
-3884.0,179,6194.142328
-3146.0,179,6221.918704
-3405.0,179,6250.314956
-2506.0,179,6280.040267
-2988.0,179,6311.685355
-4277.0,179,6344.449916
-3083.0,179,6375.216615
-3460.0,179,6408.282576
-3154.0,179,6436.072006
-2778.0,179,6467.277811
-3089.0,179,6494.554174
-4006.0,179,6525.232866
-3741.0,179,6556.44506
-2708.0,179,6585.007354
-3989.0,179,6613.370071
-3547.0,179,6642.659924
-2674.0,179,6678.761343
-3128.0,179,6710.416763
-3080.0,179,6740.419691
-3509.0,179,6773.414121
-2924.0,179,6798.059611
-3170.0,179,6827.494584
-3272.0,179,6854.510034
-3441.0,179,6882.83597
-2986.0,179,6910.402925
-3427.0,179,6940.963207
-3127.0,179,6970.178513
-4208.0,179,7004.420115
-3015.0,179,7035.352191
-3474.0,179,7062.239995
-3500.0,179,7089.561027
-3718.0,179,7115.476087
-3298.0,179,7140.388032
-2921.0,179,7165.320526
-4144.0,179,7193.322706
-3529.0,179,7220.389144
-3665.0,179,7251.994995
-3286.0,179,7278.312607
-3007.0,179,7303.277588
-3739.0,179,7332.330108
-4608.0,179,7359.768201
-2506.0,179,7383.290497
-2860.0,179,7409.184867
-2656.0,179,7433.016524
-2715.0,179,7458.125276
-2988.0,179,7492.4931
-2771.0,179,7520.024001
-2745.0,179,7545.84084
-3018.0,179,7578.51786
-2899.0,179,7605.811107
-3699.0,179,7633.937516
-2818.0,179,7662.697926
-2311.0,179,7688.780344
-3091.0,179,7717.811238
-3542.0,179,7747.47534
-3367.0,179,7777.970907
-2847.0,179,7807.813188
-3170.0,179,7836.092114
-2691.0,179,7864.139062
-2991.0,179,7888.99644
-2516.0,179,7913.019088
-3115.0,179,7938.013528
-2928.0,179,7963.190271
-2879.0,179,7987.471712
-2775.0,179,8013.841356
-3160.0,179,8046.740239
-3606.0,179,8081.546598
-3252.0,179,8113.147127
-3218.0,179,8140.98872
-3152.0,179,8166.948385
-3531.0,179,8194.118165
-2823.0,179,8223.014443
-3051.0,179,8252.187104
-2599.0,179,8282.747026
-2578.0,179,8311.418871
-3271.0,179,8344.259136
-4080.0,179,8380.716408
-2132.0,179,8405.296122
-2876.0,179,8433.026314
-1941.0,179,8458.297376
-2922.0,179,8488.056257
-2661.0,179,8512.729567
-3030.0,179,8542.839664
-2617.0,179,8569.066253
-2771.0,179,8595.791342
-2380.0,179,8626.206855
-3505.0,179,8658.745317
-2932.0,179,8687.299599
-3337.0,179,8717.951984
-2789.0,179,8747.501064
-2509.0,179,8775.809519
-3012.0,179,8802.808209
-3009.0,179,8830.826694
-3412.0,179,8862.314191
-2514.0,179,8887.415902
-2636.0,179,8913.535487
-2826.0,179,8947.463464
-3183.0,179,8978.271412
-2622.0,179,9005.424246
-2663.0,179,9032.021018
-2821.0,179,9057.661876
-4050.0,179,9086.632028
-2557.0,179,9111.017869
-4538.0,179,9141.600299
-2236.0,179,9166.585264
-2316.0,179,9190.92834
-4190.0,179,9220.94423
-3072.0,179,9247.047712
-4322.0,179,9277.449771
-3029.0,179,9304.345913
-2886.0,179,9329.942299
-3244.0,179,9356.457085
-3093.0,179,9384.00919
-2917.0,179,9411.200009
-2635.0,179,9436.613957
-3814.0,179,9465.688997
-2795.0,179,9494.073425
-2245.0,179,9518.281274
-2549.0,179,9544.215183
-3096.0,179,9569.871678
-2671.0,179,9597.995162
-2181.0,179,9626.517223
-2850.0,179,9652.961113
-3111.0,179,9681.419197
-3185.0,179,9710.059554
-2798.0,179,9739.404451
-2703.0,179,9767.782135
-3368.0,179,9798.076917
-3256.0,179,9827.300595
-2339.0,179,9856.666565
-2953.0,179,9885.41294
-2516.0,179,9914.074874
-2978.0,179,9941.150821
-2566.0,179,9967.729962
-2821.0,179,9992.866961
-2556.0,179,10020.115291
-2483.0,179,10047.414356
-2167.0,179,10075.310012
-2636.0,179,10100.950821
-2908.0,179,10126.749511
-2626.0,179,10152.932105
-2593.0,179,10179.250169
-1986.0,179,10208.283798
-2274.0,179,10236.636758
-2807.0,179,10264.29424
-2689.0,179,10290.888714
-2811.0,179,10318.062977
-2062.0,179,10345.799416
-2382.0,179,10371.21425
-2326.0,179,10396.52814
-2806.0,179,10425.203759
-2967.0,179,10453.294646
-2828.0,179,10483.798465
-2394.0,179,10510.179656
-2430.0,179,10538.716044
-2926.0,179,10566.373974
-1929.0,179,10591.310519
-2104.0,179,10618.652584
-2581.0,179,10647.165963
-2950.0,179,10676.578248
-2375.0,179,10705.649765
-2478.0,179,10732.73812
-2533.0,179,10766.918532
-2282.0,179,10791.145477
-2855.0,179,10817.969736
-3295.0,179,10853.574638
-2788.0,179,10885.250573
-2070.0,179,10914.24052
-2331.0,179,10942.576852
-2625.0,179,10968.79558
-2353.0,179,10993.873476
-2684.0,179,11020.86168
-2604.0,179,11048.36914
-2615.0,179,11074.140754
-2241.0,179,11099.638054
-2948.0,179,11128.107451
-2663.0,179,11159.748259
-2653.0,179,11190.771656
-2199.0,179,11219.94419
-2484.0,179,11248.865215
-2628.0,179,11279.510761
-2549.0,179,11305.048737
-2760.0,179,11336.797997
-2457.0,179,11364.590187
-2593.0,179,11392.909801
-2696.0,179,11421.337546
-2163.0,179,11448.127094
-2349.0,179,11474.801959
-2640.0,179,11502.828187
-2626.0,179,11533.625499
-2628.0,179,11566.163814
-2556.0,179,11597.908398
-1928.0,179,11626.469508
-2598.0,179,11651.329283
-2662.0,179,11677.490676
-2542.0,179,11703.079082
-2036.0,179,11727.767749
